"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix","contact_form","vacate","successor","non_voting"
"A000374","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000374.json","Ralph","Abraham","1954-09-16","M","R","RepAbraham","CongressmanRalphAbraham",412630,76236,155414,21522,"N00036633","/m/012dwd7_","H4LA05221","https://abraham.house.gov","https://abraham.house.gov/rss.xml",FALSE,0.508,4,2018,1211,18,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:la/cd:5","417 Cannon House Office Building","202-225-8490","202-225-5639","LA","5",FALSE,2205,1.49,97.56,2.44,NA,NA,NA,NA,NA,0,0,0
"A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma","Adams","1946-05-27","F","D","RepAdams","CongresswomanAdams",412607,76386,5935,21545,"N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml",FALSE,-0.469,6,2018,1211,32,2,"2021-03-02 02:35:22 -0500","ocd-division/country:us/state:nc/cd:12","222 Cannon House Office Building","202-225-1510","202-225-1512","NC","12",FALSE,3712,2.64,98.52,1.48,NA,NA,NA,NA,NA,0,0,0
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt",400004,45516,441,29701,"N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",FALSE,0.361,22,2018,1211,50,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","235 Cannon House Office Building","202-225-4876","202-225-5587","AL","4",FALSE,104,4.13,97.58,2.42,"B.","RobertAderholt",NA,NA,NA,0,0,0
"A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete","Aguilar","1979-06-19","M","D","reppeteaguilar","reppeteaguilar",412615,79994,70114,21506,"N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov",NA,FALSE,-0.285,4,2018,1211,14,2,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ca/cd:31","1223 Longworth House Office Building","202-225-3201","202-226-6962","CA","31",FALSE,631,1.16,95.19,4.81,NA,NA,NA,NA,NA,0,0,0
"A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick","Allen","1951-11-07","M","R","reprickallen","CongressmanRickAllen",412625,62545,136062,21516,"N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov",NA,FALSE,0.611,4,2018,1211,16,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ga/cd:12","426 Cannon House Office Building","202-225-2823","202-225-3377","GA","12",FALSE,1312,1.32,98.57,1.43,NA,NA,NA,NA,NA,0,0,0
"A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin","Amash","1980-04-18","M","R","justinamash","repjustinamash",412438,1033767,105566,21143,"N00031938","/m/0c00p_n","H0MI03126","https://amash.house.gov","https://amash.house.gov/rss.xml",FALSE,0.648,8,2018,1211,1,2,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:mi/cd:3","114 Cannon House Office Building","202-225-3831","202-225-5144","MI","3",FALSE,2603,0.08,66.2,33.8,NA,"repjustinamash",NA,NA,NA,0,0,0
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark","Amodei","1958-06-12","M","R","MarkAmodeiNV2","MarkAmodeiNV2",412500,62817,12537,21196,"N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov",NA,FALSE,0.375,8,2018,1211,36,2,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:nv/cd:2","332 Cannon House Office Building","202-225-6155","202-225-5679","NV","2",FALSE,3202,2.97,96.41,3.59,NA,"markamodeinv2",NA,NA,NA,0,0,0
"A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey","Arrington","1972-03-09","M","R","RepArrington","JodeyArrington",412726,1016482,155685,21700,"N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov",NA,FALSE,0.549,2,2018,1211,32,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:tx/cd:19","1029 Longworth House Office Building","202-225-4005",NA,"TX","19",FALSE,4819,2.64,99.23,0.77,NA,NA,NA,NA,NA,0,0,0
"B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian","Babin","1948-03-23","M","R","RepBrianBabin","RepBrianBabin",412655,44883,360,21551,"N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov",NA,FALSE,0.693,4,2018,1211,20,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:tx/cd:36","316 Cannon House Office Building","202-225-1555","202-226-0396","TX","36",FALSE,4836,1.65,96.29,3.71,NA,NA,NA,NA,NA,0,0,0
"B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don","Bacon","1963-08-16","M","R","repdonbacon","RepDonBacon",412713,103442,166299,21701,"N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov",NA,FALSE,0.432,2,2018,1211,1,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ne/cd:2","1516 Longworth House Office Building","202-225-4155",NA,"NE","2",FALSE,3102,0.08,96.84,3.16,NA,NA,NA,NA,NA,0,0,0
"B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy","Balderson","1962-01-16","M","R","RepBalderson",NA,412747,NA,102781,NA,"N00042194","/m/09ry4tm","","https://balderson.house.gov",NA,FALSE,NA,2,NA,116,1,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:oh/cd:12",NA,NA,NA,"OH","12",FALSE,3912,0.86,100,0,NA,NA,NA,NA,NA,0,1,0
"B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim","Banks","1979-07-16","M","R","RepJimBanks","RepJimBanks",412702,89806,116801,21702,"N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov",NA,FALSE,0.653,2,2018,1211,5,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:in/cd:3","509 Cannon House Office Building","202-225-4436",NA,"IN","3",FALSE,1803,0.41,97.42,2.58,NA,NA,NA,NA,NA,0,0,0
